s,E0,E1,E2,E3,gap,K
6.099999999999999867e-02,-1.879254550953148639e+00,-6.096782983294167513e-02,6.099999999999999867e-02,1.879222380786090385e+00,1.818286721120206950e+00,1.229753423241810167e-01
6.149999999999999911e-02,-1.878276025854561215e+00,-6.146699727786557321e-02,6.149999999999999911e-02,1.878243023132426970e+00,1.816809028576695573e+00,1.233192110082150100e-01
6.199999999999999956e-02,-1.877297697311057556e+00,-6.196614987202764269e-02,6.199999999999999956e-02,1.877263847183085144e+00,1.815331547439029913e+00,1.236642186719464215e-01
6.250000000000000000e-02,-1.876319565703292280e+00,-6.246528746298059265e-02,6.250000000000000000e-02,1.876284853166272582e+00,1.813854278240311757e+00,1.240103696278278406e-01
6.300000000000000044e-02,-1.875341631412883014e+00,-6.296440989768219143e-02,6.300000000000000044e-02,1.875306041310565108e+00,1.812377221515200754e+00,1.243576682062931399e-01
6.350000000000000089e-02,-1.874363894822420162e+00,-6.346351702249607152e-02,6.350000000000000089e-02,1.874327411844916025e+00,1.810900377799924188e+00,1.247061187558358014e-01
6.400000000000000133e-02,-1.873386356315464685e+00,-6.396260868318490167e-02,6.399999999999998745e-02,1.873348964998648780e+00,1.809423747632279866e+00,1.250557256430880060e-01
6.450000000000000178e-02,-1.872409016276549654e+00,-6.446168472491287105e-02,6.450000000000000178e-02,1.872370701001462745e+00,1.807947331551636783e+00,1.254064932529013465e-01
6.500000000000000222e-02,-1.871431875091190022e+00,-6.496074499224079035e-02,6.500000000000000222e-02,1.871392620083430991e+00,1.806471130098949329e+00,1.257584259884259315e-01
6.550000000000000266e-02,-1.870454933145878185e+00,-6.545978932912234483e-02,6.550000000000000266e-02,1.870414722475000957e+00,1.804995143816755743e+00,1.261115282711904595e-01
6.600000000000000311e-02,-1.869478190828092856e+00,-6.595881757890631469e-02,6.600000000000000311e-02,1.869437008406999334e+00,1.803519373249186541e+00,1.264658045411836129e-01
6.650000000000000355e-02,-1.868501648526299075e+00,-6.645782958433039955e-02,6.650000000000000355e-02,1.868459478110629401e+00,1.802043818941968745e+00,1.268212592569352981e-01
6.700000000000000400e-02,-1.867525306629949533e+00,-6.695682518752028856e-02,6.699999999999999012e-02,1.867482131817469915e+00,1.800568481442429203e+00,1.271778968955978584e-01
6.750000000000000444e-02,-1.866549165529492571e+00,-6.745580422998767589e-02,6.749999999999999056e-02,1.866504969759480659e+00,1.799093361299504812e+00,1.275357219530273145e-01
6.800000000000000488e-02,-1.865573225616373065e+00,-6.795476655262747134e-02,6.800000000000000488e-02,1.865527992169000226e+00,1.797618459063745622e+00,1.278947389438655213e-01
6.850000000000000533e-02,-1.864597487283031541e+00,-6.845371199571513576e-02,6.850000000000000533e-02,1.864551199278746463e+00,1.796143775287316391e+00,1.282549524016241005e-01
6.900000000000000577e-02,-1.863621950922914827e+00,-6.895264039890565411e-02,6.900000000000000577e-02,1.863574591321820684e+00,1.794669310524009243e+00,1.286163668787647374e-01
